[20,20]
(9,9)
(0,0) | (19,0) | (19,19) | (0,19)
(7,5,1,1)
(5,5,1,1)
(3,5,1,1)
(2,6,1,1)
(3,9,1,1)
(5,14,1,1)
(12,14,1,1)
(13,10,1,1)
(12,6,1,1)
(10,6,1,1)
(15,7,1,1)
(16,2,1,1)
(10,2,1,1)
(7,2,1,1)
(7,0,1,1)
(13,0,1,1)
(13,3,1,1)
(18,7,1,1)
(17,14,1,1)
(8,12,1,1)
(9,17,1,1)
(14,11,1,1)
(19,11,1,1)
(17,16,1,1)
(13,16,1,1)
(4,15,1,1)
(0,9,1,1)
(2,13,1,1)
(2,17,1,1)
(6,18,1,1)
(8,15,1,1)
(6,9,1,1)
(11,12,1,1)
(4,2,1,1)
(1,4,1,1)
(3,1,1,1)
(14,9,1,1)
(16,12,1,1)
(14,14,1,1)
(15,5,1,1)
(17,5,1,1)
(17,3,1,1)
(17,0,1,1)
(14,2,1,1)
(14,3,1,1)
(14,4,1,1)
(12,5,1,1)
(10,4,1,1)
(9,5,1,1)
(8,7,1,1)
(7,10,1,1)
(9,11,1,1)
(10,9,1,1)
(12,12,1,1)
(14,13,1,1)
(15,14,1,1)
(16,16,1,1)
(12,18,1,1)
(6,19,1,1)
(7,19,1,1)
(11,19,1,1)
(13,18,1,1)
(11,15,1,1)
(9,13,1,1)
(6,12,1,1)
(3,11,1,1)
(2,10,1,1)
(3,7,1,1)
(1,7,1,1)
(1,11,1,1)
(1,15,1,1)
(4,17,1,1)
(6,16,1,1)
(14,17,1,1)
(16,18,1,1)
(18,16,1,1)
(17,19,1,1)
(3,19,1,1)
(12,8,1,1)
(17,9,1,1)
(17,11,1,1)
(16,10,1,1)
(9,0,1,1)
(5,0,1,1)
